ntd_id,ntd_id_2022,test_ntd_id,name
9R02-91027,91027,91027,City of Arvin
9R02-91028,91028,91028,City of Solvang
9R02-91032,91032,91032,City of Auburn
9R02-91035,91035,91035,Trinity County
9R02-91036,91036,91036,Humboldt Transit Authority
9R02-91038,91038,91038,Sierra County Transportation Commission
9R02-91041,91041,91041,City of Dixon
9R02-91043,91043,91043,City of Guadalupe
9R02-91047,91047,91047,Mendocino Transit Authority
9R02-91048,91048,91048,Siskiyou County
9R02-91053,91053,91053,Lake Transit Authority
9R02-91055,91055,91055,Tulare County Area Transit
9R02-91057,91057,91057,Tuolumne County Transit Agency
9R02-91058,91058,91058,City of Ojai
9R02-91059,91059,91059,Kern County
9R02-91062,91062,91062,Eastern Sierra Transit Authority
9R02-91066,91066,91066,City of Taft
9R02-91070,91070,91070,Yosemite Area Regional Transportation System
9R02-91071,91071,91071,City of Chowchilla
9R02-91074,91074,91074,City of Tehachapi
9R02-91078,91078,91078,City of Escalon
9R02-91082,91082,91082,Mariposa County
9R02-91088,91088,91088,Glenn County
9R02-91089,91089,91089,Tehama County
9R02-91090,91090,91090,Basin Transit
9R02-91090,91090,91090,Morongo Basin Transit Authority
91092,91092,91092,Tahoe Transportation District
9R02-91093,91093,91093,City of Eureka
9R02-91095,91095,91095,Nevada County
9R02-91097,91097,91097,Redwood Coast Transit Authority
9R02-91098,91098,91098,Lassen Transit Service Agency
9R02-91101,91101,91101,Town of Truckee
9R02-91110,91110,91110,City of McFarland
9R02-91111,91111,91111,City of California City
9R02-91112,91112,91112,Colusa County Transit Agency
9R02-91116,91116,91116,Alpine County
9R02-91119,91119,91119,Plumas County
9R02-91120,91120,91120,City of Shafter
99262,99262,99262,Yurok Tribe
99292,99292,99292,Blue Lake Rancheria
99316,99316,99316,Chemehuevi Indian Tribe
99358,99358,99358,Morongo Band of Mission Indians
99364,99364,99364,North Fork Rancheria of Mono Indians of California
99422,99422,99422,San Joaquin Council of Governments
99423,99423,99423,City of Glendale
99424,99424,99424,City of Pasadena
99245,99425,99425,Pomona Valley Transportation Authority
99425,99425,99425,Pomona Valley Transportation Authority
9R02-99426,99426,99426,City of Wasco
9R02-99442,99442,99442,Calaveras Transit Agency
99452,,99452,Elk Valley Rancheria
9R02-99454,99454,99454,Palo Verde Valley Transit Agency
99268,99268,,Bishop Paiute Tribe
9R02-91063,91063,,Calaveras County
9R02,9R02,,California Department of Transportation
9R02-91040,91040,,City of Dinuba
90264,90264,,City of Duarte
A0003-99449,99449,,City of El Segundo
90205,90205,,City of Elk Grove
90220,90220,,City of Folsom
A0003-99450,99450,,City of Hawaiian Gardens
A0003-99445,,,City of La Habra Heights
90280,90280,,City of Lawndale
90235,90235,,City of Lincoln
90007,90007,,City of Modesto
A0003-99448,,,City of Palmdale
A0003-99451,99451,,City of San Fernando
A0003-99447,99447,,City of Sierra Madre
A0003-99443,99443,,City of South El Monte
90244,90244,,City of Tulare
9R02-91079,91079,,City of Woodlake
90236,90236,,Historic: Stanislaus Regional Transit
A0003-99444,,,Hollywood Burbank Airport
9R02-005,,,Plumas County Transportation Commission
99310,,,"Quechan Tribe of the Fort Yuma Indian Reservation, California & Arizona"
90308,,,Sacramento Area Council of Governments
90297,90297,,San Luis Obispo Council of Governments
9R02-99438,99438,,Shasta County
90236,90236,,Stanislaus Regional Transit
99256,99256,,Susanville Indian Rancheria
99370,99370,,Tule River Tribe
