code,human_readable_description,version,severity
feed_info_lang_and_agency_lang_mismatch,Mismatching feed and agency language fields.,v7.1.0,WARNING
forbidden_arrival_or_departure_time,The arrival or departure times are provided alongside pickup or drop-off windows in `stop_times.txt`.,v7.1.0,ERROR
forbidden_continuous_pickup_drop_off,"Continuous pickup or drop-off are forbidden when routes.continuous_pickup or routes.continuous_drop_off are 0, 2 or 3 and stop_times.start_pickup_drop_off_window or stop_times.end_pickup_drop_off_window are defined for any trip of this route.",v7.1.0,ERROR
forbidden_drop_off_type,pickup_drop_off_window fields are forbidden when the drop_off_type is regularly scheduled (0).,v7.1.0,ERROR
forbidden_geography_id,A stop_time entry has more than one geographical id defined.,v7.1.0,ERROR
forbidden_pickup_type,pickup_drop_off_window fields are forbidden when the pickup_type is regularly scheduled (0) or must be coordinated with the driver (3).,v7.1.0,ERROR
forbidden_prior_day_booking_field_value,A forbidden field value is present for a prior-day booking rule in `booking_rules.txt`,v7.1.0,ERROR
forbidden_prior_notice_start_day,`prior_notice_start_day` value is forbidden when `prior_notice_duration_max` is set.,v7.1.0,ERROR
forbidden_prior_notice_start_time,`prior_notice_start_time` value is forbidden when `prior_notice_start_day` value is not set in booking_rules.txt.,v7.1.0,ERROR
forbidden_real_time_booking_field_value,A forbidden field value is present for a real-time booking rule in `booking_rules.txt`.,v7.1.0,ERROR
forbidden_same_day_booking_field_value,A forbidden field value is present for a same-day booking rule in `booking_rules.txt`.,v7.1.0,ERROR
forbidden_shape_dist_traveled,A stop_time entry has a `shape_dist_traveled` without a `stop_id` value.,v7.1.0,ERROR
foreign_key_violation,Wrong foreign key.,v7.1.0,ERROR
geo_json_duplicated_element,Duplicated elements in locations.geojson file.,v7.1.0,ERROR
geo_json_unknown_element,Unknown elements in locations.geojson file.,v7.1.0,INFO
i_o_error,Error in IO operation.,v7.1.0,ERROR
inconsistent_agency_lang,Inconsistent language among agencies.,v7.1.0,WARNING
inconsistent_agency_timezone,Inconsistent Timezone among agencies.,v7.1.0,ERROR
invalid_character,"This field contains invalid characters, such as the replacement character (""�"").",v7.1.0,ERROR
invalid_color,A field contains an invalid color value.,v7.1.0,ERROR
invalid_currency,A field contains a wrong currency code.,v7.1.0,ERROR
invalid_currency_amount,A currency amount field has a value that does not match the format of its corresponding currency code field.,v7.1.0,ERROR
invalid_date,A field cannot be parsed as date.,v7.1.0,ERROR
invalid_email,A field contains a malformed email address.,v7.1.0,ERROR
invalid_float,A field cannot be parsed as a floating point number.,v7.1.0,ERROR
invalid_geometry,A polygon in `locations.geojson` is unparsable or invalid.,v7.1.0,ERROR
invalid_input_files_in_subfolder,At least 1 GTFS file is in a subfolder.,v7.1.0,ERROR
invalid_integer,A field cannot be parsed as an integer.,v7.1.0,ERROR
invalid_language_code,A field contains a wrong language code.,v7.1.0,ERROR
invalid_phone_number,A field contains a malformed phone number.,v7.1.0,ERROR
invalid_pickup_drop_off_window,The pickup/drop-off window in `stop_times.txt` is invalid.,v7.1.0,ERROR
invalid_prior_notice_duration_min,An invalid `prior_notice_duration_min` value is present in a booking rule.,v7.1.0,ERROR
invalid_row_length,Invalid csv row length.,v7.1.0,ERROR
invalid_time,A field cannot be parsed as time.,v7.1.0,ERROR
invalid_timezone,A field cannot be parsed as a timezone.,v7.1.0,ERROR
invalid_url,A field contains a malformed URL.,v7.1.0,ERROR
leading_or_trailing_whitespaces,The value in CSV file has leading or trailing whitespaces.,v7.1.0,WARNING
location_with_unexpected_stop_time,A location in `stops.txt` that is not a stop is referenced by some `stop_times.stop_id`.,v7.1.0,ERROR
location_without_parent_station,A location that must have `parent_station` field does not have it.,v7.1.0,ERROR
malformed_json,A JSON file is malformed.,v7.1.0,ERROR
missing_bike_allowance,Ferry trips should include bike allowance information.,v7.1.0,WARNING
missing_calendar_and_calendar_date_files,Missing GTFS files `calendar.txt` and `calendar_dates.txt`.,v7.1.0,ERROR
missing_feed_contact_email_and_url,Best Practices for `feed_info.txt` suggest providing at least one of `feed_contact_email` and `feed_contact_url`.,v7.1.0,WARNING
missing_feed_info_date,"One of `feed_start_date` or `feed_end_date` is specified, but not both.",v7.1.0,WARNING
missing_level_id,`stops.level_id` is conditionally required.,v7.1.0,ERROR
missing_pickup_drop_off_booking_rule_id,pickup_booking_rule_id is recommended when pickup_type=2 and drop_off_booking_rule_id is recommended when drop_off_type=2.,v7.1.0,WARNING
missing_pickup_or_drop_off_window,Either the start or end pickup/drop-off window is missing in `stop_times.txt`.,v7.1.0,ERROR
missing_prior_day_booking_field_value,The `prior_notice_last_day` and the `prior_notice_last_time` values are required for prior day `booking_type` in booking_rules.txt.,v7.1.0,ERROR
missing_prior_notice_duration_min,`prior_notice_duration_min` value is required for same day `booking_type` in booking_rules.txt.,v7.1.0,ERROR
missing_prior_notice_last_day,The `prior_notice_last_day` is required when booking_type=2 (prior day booking) is specified in booking_rules.txt.,v7.1.0,ERROR
missing_prior_notice_last_time,The `prior_notice_last_time` is required when booking_type=2 (prior day booking) is specified in booking_rules.txt.,v7.1.0,ERROR
missing_prior_notice_start_time,`prior_notice_start_time` value is required when `prior_notice_start_day` value is set in booking_rules.txt.,v7.1.0,ERROR
missing_recommended_column,A recommended column is missing in the input file.,v7.1.0,WARNING
missing_recommended_field,A recommended field is missing.,v7.1.0,WARNING
missing_recommended_file,A recommended file is missing.,v7.1.0,WARNING
missing_required_column,A required column is missing in the input file.,v7.1.0,ERROR
missing_required_element,A required element is missing in `locations.geojson`.,v7.1.0,ERROR
missing_required_field,A required field is missing.,v7.1.0,ERROR
missing_required_file,A required file is missing.,v7.1.0,ERROR
missing_stop_name,"`stops.stop_name` is required for `location_type` equal to `0`, `1`, or `2`.",v7.1.0,ERROR
missing_stop_times_record,Only one stop_times record is found where two are required.,v7.1.0,ERROR
missing_timepoint_value,`stop_times.timepoint` value is missing for a record.,v7.1.0,WARNING
missing_trip_edge,Missing trip edge `arrival_time` or `departure_time`.,v7.1.0,ERROR
mixed_case_recommended_field,This field has customer-facing text and should use Mixed Case (should contain upper and lower case letters).,v7.1.0,WARNING
more_than_one_entity,More than one row in CSV.,v7.1.0,WARNING
new_line_in_value,New line or carriage return in a value in CSV file.,v7.1.0,ERROR
non_ascii_or_non_printable_char,Non ascii or non printable char in ID field.,v7.1.0,WARNING
number_out_of_range,Out of range value.,v7.1.0,ERROR
overlapping_frequency,Trip frequencies overlap.,v7.1.0,ERROR
overlapping_zone_and_pickup_drop_off_window,Two entities have overlapping pickup/drop-off windows and zones.,v7.1.0,ERROR
pathway_dangling_generic_node,A generic node has only one incident location in a pathway graph.,v7.1.0,WARNING
pathway_loop,A pathway starts and ends at the same location.,v7.1.0,WARNING
pathway_to_platform_with_boarding_areas,A pathway has an endpoint that is a platform which has boarding areas.,v7.1.0,ERROR
pathway_to_wrong_location_type,A pathway has an endpoint that is a station.,v7.1.0,ERROR
pathway_unreachable_location,A location is not reachable at least in one direction: from the entrances or to the exits.,v7.1.0,ERROR
platform_without_parent_station,A platform has no `parent_station` field set.,v7.1.0,INFO
point_near_origin,"A point is too close to origin `(0, 0)`.",v7.1.0,ERROR
point_near_pole,A point is too close to the North or South Pole.,v7.1.0,ERROR
prior_notice_last_day_after_start_day,Prior notice last day should not be greater than the prior notice start day in booking_rules.txt.,v7.1.0,ERROR
route_both_short_and_long_name_missing,Both `route_short_name` and `route_long_name` are missing for a route.,v7.1.0,ERROR
route_color_contrast,Insufficient route color contrast.,v7.1.0,WARNING
route_long_name_contains_short_name,Long name should not contain short name for a single route.,v7.1.0,WARNING
route_networks_specified_in_more_than_one_file,Indicates that route network identifiers are specified across multiple files.,v7.1.0,ERROR
route_short_name_too_long,Short name of a route is too long (more than 12 characters).,v7.1.0,WARNING
runtime_exception_in_loader_error,RuntimeException while loading GTFS dataset in memory.,v7.1.0,ERROR
runtime_exception_in_validator_error,RuntimeException while validating GTFS archive.,v7.1.0,ERROR
same_name_and_description_for_route,Same name and description for route.,v7.1.0,WARNING
same_name_and_description_for_stop,Same name and description for stop.,v7.1.0,WARNING
same_route_and_agency_url,Same `routes.route_url` and `agency.agency_url`.,v7.1.0,WARNING
same_stop_and_agency_url,Same `stops.stop_url` and `agency.agency_url`.,v7.1.0,WARNING
same_stop_and_route_url,Same `stops.stop_url` and `routes.route_url`.,v7.1.0,WARNING
single_shape_point,The shape within `shapes.txt` contains a single shape point.,v7.1.0,WARNING
start_and_end_range_equal,Two date or time fields are equal.,v7.1.0,ERROR
start_and_end_range_out_of_order,Two date or time fields are out of order.,v7.1.0,ERROR
station_with_parent_station,A station has `parent_station` field set.,v7.1.0,ERROR
stop_has_too_many_matches_for_shape,"Stop entry that has many potential matches to the trip's path of travel, as defined by the shape entry in `shapes.txt`.",v7.1.0,WARNING
stop_time_timepoint_without_times,`arrival_time` or `departure_time` not specified for timepoint.,v7.1.0,ERROR
stop_time_with_arrival_before_previous_departure_time,Backwards time travel between stops in `stop_times.txt`,v7.1.0,ERROR
stop_time_with_only_arrival_or_departure_time,Missing `stop_times.arrival_time` or `stop_times.departure_time`.,v7.1.0,ERROR
stop_too_far_from_shape,Stop too far from trip shape.,v7.1.0,WARNING
stop_too_far_from_shape_using_user_distance,Stop time too far from shape.,v7.1.0,WARNING
stop_without_location,"`stop_lat` and/or `stop_lon` is missing for stop with `location_type` equal to`0`, `1`, or `2`",v7.1.0,ERROR
stop_without_stop_time,A stop in `stops.txt` is not referenced by any `stop_times.stop_id`.,v7.1.0,WARNING
stop_without_zone_id,Stop without value for `stops.zone_id` contained in a route with a zone-dependent fare rule.,v7.1.0,INFO
stops_match_shape_out_of_order,Two stop entries are different than their arrival-departure order defined by `shapes.txt`.,v7.1.0,WARNING
thread_execution_error,ExecutionException during multithreaded validation,v7.1.0,ERROR
timeframe_only_start_or_end_time_specified,A row from `timeframes.txt` was found with only one of `start_time` and `end_time` specified.,v7.1.0,ERROR
timeframe_overlap,Two entries in `timeframes.txt` with the same `timeframe_group_id` and `service_id` have overlapping time intervals.,v7.1.0,ERROR
timeframe_start_or_end_time_greater_than_twenty_four_hours,A time in `timeframes.txt` is greater than `24:00:00`.,v7.1.0,ERROR
too_many_rows,A CSV file has too many rows.,v7.1.0,ERROR
transfer_distance_above_2_km,The transfer distance from stop to stop in `transfers.txt` is larger than 2 km.,v7.1.0,INFO
transfer_distance_too_large,The transfer distance from stop to stop in `transfers.txt` is larger than 10 km.,v7.1.0,WARNING
transfer_with_invalid_stop_location_type,A stop id field from GTFS file `transfers.txt` references a stop that has a `location_type` other than 0 or 1 (aka Stop/Platform or Station).,v7.1.0,ERROR
transfer_with_invalid_trip_and_route,A trip id field from GTFS file `transfers.txt` references a route that does not match its `trips.txt` `route_id`.,v7.1.0,ERROR
transfer_with_invalid_trip_and_stop,A trip id field from GTFS file `transfers.txt` references a stop that is not included in the referenced trip's stop-times.,v7.1.0,ERROR
transfer_with_suspicious_mid_trip_in_seat,A trip id field from GTFS file `transfers.txt` with an in-seat transfer type references a stop that is not in the expected position in the trip's stop-times.,v7.1.0,WARNING
translation_foreign_key_violation,An entity with the given `record_id` and `record_sub_id` cannot be found in the referenced table.,v7.1.0,ERROR
translation_unexpected_value,A field in a translations row has value but must be empty.,v7.1.0,ERROR
translation_unknown_table_name,A translation references an unknown or missing GTFS table.,v7.1.0,WARNING
trip_coverage_not_active_for_next7_days,Trips data should be valid for at least the next seven days.,v7.1.0,WARNING
trip_distance_exceeds_shape_distance,The distance between the last shape point and last stop point is greater than or equal to the 11.1m threshold.,v7.1.0,ERROR
trip_distance_exceeds_shape_distance_below_threshold,The distance between the last shape point and last stop point is greater than 0 but less than the 11.1m threshold.,v7.1.0,WARNING
u_r_i_syntax_error,A string could not be parsed as a URI reference.,v7.1.0,ERROR
unexpected_enum_value,An enum has an unexpected value.,v7.1.0,WARNING
unknown_column,A column name is unknown.,v7.1.0,INFO
unknown_file,A file is unknown.,v7.1.0,INFO
unsupported_feature_type,An unsupported feature type is used in the `locations.geojson` file.,v7.1.0,ERROR
unsupported_geo_json_type,An unsupported GeoJSON type is used in the `locations.geojson` file.,v7.1.0,ERROR
unsupported_geometry_type,A GeoJSON feature has an unsupported geometry type in `locations.geojson`.,v7.1.0,ERROR
unusable_trip,Trips must have more than one stop to be usable.,v7.1.0,WARNING
unused_parent_station,Unused parent station.,v7.1.0,INFO
unused_shape,Shape is not used in GTFS file `trips.txt`.,v7.1.0,WARNING
unused_station,Unused station.,v7.1.0,INFO
unused_trip,Trip is not be used in `stop_times.txt`,v7.1.0,WARNING
wrong_parent_location_type,Incorrect type of the parent location.,v7.1.0,ERROR
