code,human_readable_description,version,severity
attribution_without_role,Attribution with no role.,v7.1.0,WARNING
bidirectional_exit_gate,Pathway is bidirectional and has mode 7 (exit gate).,v7.1.0,ERROR
block_trips_with_overlapping_stop_times,Trips with the same block id have overlapping stop times.,v7.1.0,ERROR
csv_parsing_failed,Parsing of a CSV file failed.,v7.1.0,ERROR
decreasing_or_equal_stop_time_distance,Decreasing or equal `shape_dist_traveled` in `stop_times.txt`.,v7.1.0,ERROR
decreasing_shape_distance,Decreasing `shape_dist_traveled` in `shapes.txt`.,v7.1.0,ERROR
duplicate_fare_media,Two distinct fare media have the same fare media name and type.,v7.1.0,WARNING
duplicate_geo_json_key,A key in `locations.geojson` is duplicated.,v7.1.0,ERROR
duplicate_geography_id,Geography id is duplicated across multiple files.,v7.1.0,ERROR
duplicate_key,Duplicated entity.,v7.1.0,ERROR
duplicate_route_name,"Two distinct routes have either the same `route_short_name`, the same `route_long_name`, or the same combination of `route_short_name` and `route_long_name`.",v7.1.0,WARNING
duplicated_column,Duplicated column in CSV.,v7.1.0,ERROR
empty_column_name,A column name is empty.,v7.1.0,ERROR
empty_file,A CSV file is empty.,v7.1.0,ERROR
empty_row,A row in the input file has only spaces.,v7.1.0,WARNING
equal_shape_distance_diff_coordinates,Two consecutive points have equal `shape_dist_traveled` and different lat/lon coordinates in `shapes.txt` and the distance between the two points is greater than the 1.11m.,v7.1.0,ERROR
equal_shape_distance_diff_coordinates_distance_below_threshold,Two consecutive points have equal `shape_dist_traveled` and different lat/lon coordinates in `shapes.txt` and the distance between the two points is greater than 0 but less than 1.11m.,v7.1.0,WARNING
equal_shape_distance_same_coordinates,Two consecutive points have equal `shape_dist_traveled` and the same lat/lon coordinates in `shapes.txt`.,v7.1.0,WARNING
expired_calendar,Dataset should not contain date ranges for services that have already expired.,v7.1.0,WARNING
fare_product_with_multiple_default_rider_categories,This notice is generated when a fare product is associated with multiple rider categories that are marked as default.,v7.1.0,ERROR
fare_transfer_rule_duration_limit_type_without_duration_limit,A row from GTFS file `fare_transfer_rules.txt` has a defined `duration_limit_type` field but no `duration_limit` specified.,v7.1.0,ERROR
fare_transfer_rule_duration_limit_without_type,A row from GTFS file `fare_transfer_rules.txt` has a defined `duration_limit` field but no `duration_limit_type` specified.,v7.1.0,ERROR
fare_transfer_rule_invalid_transfer_count,A row from GTFS file `fare_transfer_rules.txt` has a defined `transfer_count` with an invalid value.,v7.1.0,ERROR
fare_transfer_rule_missing_transfer_count,"A row from `fare_transfer_rules.txt` has `from_leg_group_id` equal to `to_leg_group_id`, but has no `transfer_count` specified.",v7.1.0,ERROR
fare_transfer_rule_with_forbidden_transfer_count,"A row from `fare_transfer_rules.txt` has `from_leg_group_id` not equal to `to_leg_group_id`, but has `transfer_count` specified.",v7.1.0,ERROR
fast_travel_between_consecutive_stops,A transit vehicle moves too fast between two consecutive stops.,v7.1.0,WARNING
fast_travel_between_far_stops,A transit vehicle moves too fast between two far stops.,v7.1.0,WARNING
feed_expiration_date30_days,Dataset should cover at least the next 30 days of service.,v7.1.0,WARNING
feed_expiration_date7_days,Dataset should be valid for at least the next 7 days.,v7.1.0,WARNING
