code,human_readable_description,version,severity
duplicate_route_name,"All routes should have different routes.route_long_name - if two routes.route_long_name are the same, and the two routes belong to the same agency, a notice is generated.",v2.0.0,WARNING
empty_column_name,A column name has not been provided. Such columns are skipped by the validator.,v2.0.0,WARNING
empty_row,A row in the input file has only spaces.,v2.0.0,WARNING
feed_expiration_date,"At any time, the published GTFS dataset should be valid for at least the next 7 days, and ideally for as long as the operator is confident that the schedule will continue to be operated.",v2.0.0,WARNING
inconsistent_agency_lang,Agencies from GTFS agency.txt have been found to have different languages.,v2.0.0,WARNING
missing_feed_info_date,"Even though feed_info.start_date and feed_info.end_date are optional, if one field is provided the second one should also be provided.",v2.0.0,WARNING
more_than_one_entity,"The file is expected to have a single entity but has more (e.g., ""feed_info.txt"").",v2.0.0,WARNING
non_ascii_or_non_printable_char,A value of filed with type id contains non ASCII or non printable characters. This is not recommended.,v2.0.0,WARNING
platform_without_parent_station,A platform has no parent_station field set.,v2.0.0,WARNING
route_color_contrast,A routes color and route_text_color should be contrasting.,v2.0.0,WARNING
route_short_and_long_name_equal,Short and long name are equal for a route.,v2.0.0,WARNING
route_short_name_too_long,Short name of a route is too long (more than 12 characters).,v2.0.0,WARNING
start_and_end_time_equal,"Start and end times are equal in GTFS file frequencies.txt. The GTFS spec is currently unclear how this case should be handled (e.g., is it a trip that circulates once?). It is recommended to use a trip not defined via frequencies.txt for this case.",v2.0.0,WARNING
stop_time_timepoint_without_times,Any record with stop_times.timepoint set to 1 should define a value for stop_times.arrival_time and stop_times.departure_time fields. ,v2.0.0,WARNING
stop_too_far_from_trip_shape,"Per GTFS Best Practices, route alignments (in shapes.txt) should be within 100 meters of stop locations which a trip serves.",v2.0.0,WARNING
too_fast_travel,"As implemented in the original Google Python GTFS validator, the calculated speed between stops should not be greater than 150 km/h (42 m/s SI or 93 mph). ",v2.0.0,WARNING
unexpected_enum_value,An enum has an unexpected value.,v2.0.0,WARNING
unusable_trip,A trip must visit more than one stop in stop_times.txt to be usable by passengers for boarding and alighting.,v2.0.0,WARNING
unused_shape,All records defined by GTFS shapes.txt should be used in trips.txt.,v2.0.0,WARNING
unused_trip,Trips must be referred to at least once in stop_times.txt.,v2.0.0,WARNING
unknown_column,A column is unknown.,v2.0.0,INFO
unknown_file,A file is unknown.,v2.0.0,INFO
i_o_error,Error in IO operation.,v2.0.0,SYSTEM_ERROR
runtime_exception_in_loader_error,A RuntimeException occurred while loading a table. This normally indicates a bug in validator.,v2.0.0,SYSTEM_ERROR
runtime_exception_in_validator_error,"A RuntimeException occurred during validation. This normally indicates a bug in validator code, e.g., in a custom validator class.",v2.0.0,SYSTEM_ERROR
thread_execution_error,An ExecutionException occurred during multithreaded validation.,v2.0.0,SYSTEM_ERROR
thread_interrupted_error,An InterruptedException during multithreaded validation.,v2.0.0,SYSTEM_ERROR
u_r_i_syntax_error,A string could not be parsed as a URI reference.,v2.0.0,SYSTEM_ERROR
