code,human_readable_description,version,severity
attribution_without_role,Attribution with no role.,v4.2.0,WARNING
block_trips_with_overlapping_stop_times,Trips with the same block id have overlapping stop times.,v4.2.0,ERROR
csv_parsing_failed,Parsing of a CSV file failed.,v4.2.0,ERROR
decreasing_or_equal_stop_time_distance,Decreasing or equal `shape_dist_traveled` in `stop_times.txt`.,v4.2.0,ERROR
decreasing_shape_distance,Decreasing `shape_dist_traveled` in `shapes.txt`.,v4.2.0,ERROR
duplicate_fare_media,Two distinct fare media have the same fare media name and type.,v4.2.0,WARNING
duplicate_key,Duplicated entity.,v4.2.0,ERROR
duplicate_route_name,Two distinct routes have either the same `route_short_name` the same `route_long_name` or the same combination of `route_short_name` and `route_long_name`.,v4.2.0,WARNING
duplicated_column,Duplicated column in CSV.,v4.2.0,ERROR
empty_column_name,A column name is empty.,v4.2.0,ERROR
empty_file,A CSV file is empty.,v4.2.0,ERROR
empty_row,A row in thei nput file has only spaces.,v4.2.0,WARNING
equal_shape_distance_diff_coordinates,Two consecutive points have equal `shape_dist_traveled` and different lat/lon coordinates in `shapes.txt`.,v4.2.0,ERROR
equal_shape_distance_same_coordinates,Two consecutive points have equal `shape_dist_traveled` and the same lat/lon coordinates in `shapes.txt`.,v4.2.0,WARNING
expired_calendar,Dataset should not contain date ranges for services that have already expired.,v4.2.0,WARNING
fare_transfer_rule_duration_limit_type_without_duration_limit,A row from GTFS file `fare_transfer_rules.txt` has a defined `duration_limit_type` field but no `duration_limit` specified.,v4.2.0,ERROR
fare_transfer_rule_duration_limit_without_type,A row from GTFS file `fare_transfer_rules.txt` has a defined `duration_limit` field but no `duration_limit_type` specified.,v4.2.0,ERROR
fare_transfer_rule_invalid_transfer_count,A row from GTFS file `fare_transfer_rules.txt` has a defined `transfer_count` with an invalid value.,v4.2.0,ERROR
fare_transfer_rule_missing_transfer_count,A row from `fare_transfer_rules.txt` has `from_leg_group_id` equal to `to_leg_group_id` but has no `transfer_count` specified.,v4.2.0,ERROR
fare_transfer_rule_with_forbidden_transfer_count,A row from `fare_transfer_rules.txt` has `from_leg_group_id` not equal to `to_leg_group_id` but has `transfer_count` specified.,v4.2.0,ERROR
fast_travel_between_consecutive_stops,A transit vehicle moves too fast between two consecutive stops.,v4.2.0,WARNING
fast_travel_between_far_stops,A transit vehicle moves too fast between two far stops.,v4.2.0,WARNING
feed_expiration_date30_days,Dataset should cover at least the next 30 days of service.,v4.2.0,WARNING
feed_expiration_date7_days,Dataset should be valid for at least the next 7 days.,v4.2.0,WARNING
feed_info_lang_and_agency_lang_mismatch,Mismatching feed and agency language fields.,v4.2.0,WARNING
foreign_key_violation,Wrong foreign key.,v4.2.0,ERROR
i_o_error,Error in IO operation.,v4.2.0,ERROR
inconsistent_agency_lang,Inconsistent language among agencies.,v4.2.0,WARNING
inconsistent_agency_timezone,Inconsistent Timezone among agencies.,v4.2.0,ERROR
invalid_color,A field contains an invalid color value.,v4.2.0,ERROR
invalid_currency,A field contains a wrong currency code.,v4.2.0,ERROR
invalid_currency_amount,A currency amount field has a value that does not match the format of its corresponding currency code field.,v4.2.0,ERROR
invalid_date,A field cannot be parsed as date.,v4.2.0,ERROR
invalid_email,A field contains a malformed email address.,v4.2.0,ERROR
invalid_float,A field cannot be parsed as a floating point number.,v4.2.0,ERROR
invalid_input_files_in_subfolder,At least 1 GTFS file is in a subfolder.,v4.2.0,ERROR
invalid_integer,A field cannot be parsed as an integer.,v4.2.0,ERROR
invalid_language_code,A field contains a wrong language code.,v4.2.0,ERROR
invalid_phone_number,A field contains a malformed phone number.,v4.2.0,ERROR
