ntd_id,legacy_ntd_id,organization_record_id,organization_name
9R02-91088,9R02-009,rec0sMQyK2v8Cs4Io,Glenn County
90252,,reciHfF3NFpYwPhBd,City of Bell
9R02-90216,9R02-109,recsrpnpj2oZXBvE6,Sacramento County
9R02-91098,9R02-021,rec78KctfPkBZC5IJ,Lassen Transit Service Agency
90182,9182,recpgYVeU3VePMeWx,San Joaquin Regional Rail Commission
90301,,recwD6Z3TzAXm8PaQ,City of Lakewood
9R02-91074,9R02-014,recb62AnQ2VtCwQF3,City of Tehachapi
90121,9121,recxsWR0KRrQTdjmg,Antelope Valley Transit Authority
9R02-91097,9R02-002,recOnKhqF25crJt4q,Redwood Coast Transit Authority
90277,,,
90030,9030,recRBcrX4ZvTyvSnm,North County Transit District
90015,9015,rechaapWbeffO33OX,City and County of San Francisco
90004,9004,recIh3vq8jwuuJlvL,Golden Empire Transit District
90294,,rec2LbE0IBKBAkvQr,City of West Hollywood
90225,9225,recmatCuQAUrNcs8j,San Francisco Bay Area Water Emergency Transit Authority
90175,9175,rec9sI67HygZotDqo,City of Lodi
90235,9235,recUbw5xZRV7HQCxE,City of Lincoln
90151,9151,rec7YtRySB7AsTfLw,Southern California Regional Rail Authority
9R02-99426,9R02-028,recR3lcjexxq11FFe,City of Wasco
99292,9T02,rec0xQaeDukHT3ODl,Blue Lake Rancheria
99424,,reczF5Y8R9CUJmfSy,City of Pasadena
90003,9003,recoQLeNRISCKF8I0,San Francisco Bay Area Rapid Transit District
9R02-91055,9R02-008,rec6FAtaPfGzacue8,Tulare County Area Transit
90247,,recNaKvzVQhGX1puu,City of Alhambra
9R02-91035,9R02-022,recK5xIowqx4sGVMT,Trinity County
9R02-91090,9R02-049,recniaSbsXcRSLsWe,Morongo Basin Transit Authority
90298,,recXe6VxOyvIkBQO5,Ventura County
90090,9090,recH2FdHvrL7nIpHA,Yolo County Transportation District
90092,9092,recot6qBamlOoLcrM,City of Fairfield
9R02-91027,9R02-056,recU2uRqDJL4SdI4E,City of Arvin
A0016,,,
90168,9168,recUdTq5QiUjJRiAe,City of Roseville
A0009,,,
90288,,recb7uOVfmbGbDi8J,City of Pico Rivera
90250,,recFPHukHLxuipzd1,City of Azusa
A0013,,,
91092,,rec3u4aMplqObcoTR,Tahoe Transportation District
9R02-91066,9R02-010,recgTxL1xyvgC8e9k,City of Taft
90199,9199,rec2DteW2sfmBJRsH,City of Madera
9R02-91040,9R02-060,recIWr36TbFurchtL,City of Dinuba
9R02-91058,9R02-004,reckQmUdXUzHFmlVf,City of Ojai
9R02-91120,9R02-029,recjZAN1qYrPh4rLd,City of Shafter
9R02-91036,9R02-016,recaa3naoNR4a5RsJ,Humboldt Transit Authority
90147,9147,rec4pgjrmdhCh4z01,City of Los Angeles
9R02-91018,9R02-108,recaaoqEDvwhcmIVT,City of Arcata
90079,9079,recAsbHMwQWB7cri8,SunLine Transit Agency
90229,9229,recEDVdKwYUSkGBRd,El Dorado County Transit Authority
90012,9012,recZgWVXkpix390of,San Joaquin Regional Transit District
90227,9227,recojKzQsBzE1hjVu,City of Moorpark
90293,,recxlxkA0bYVEU3JM,City of West Covina
9R02,9R02,rec3DMyvpt33QLIwM,California Department of Transportation
90262,,recIiOJJeQRZQ2h9Z,City of Cudahy
9R02-91101,9R02-054,recC3RkO8A2PmiWUC,Town of Truckee
90271,,,
90285,,recGHAE8jaKtdHOsY,City of Monrovia
90200,9200,rec5MLJKrAgeM8f6H,Kings County Area Public Transit Agency
90008,9008,recJHFDLpGRMIFgnL,City of Santa Monica
9R02-91071,9R02-058,recvVEHfgly84eET4,City of Chowchilla
90164,9164,rec7EN71rsZxDFxZd,Ventura County Transportation Commission
90234,9234,recNOb7pqBRlQVG5e,Marin County Transit District
90213,9213,recUbGDXhPdx3494b,City of Petaluma
90299,,recUmm4gcNXaqrwpn,Sonoma-Marin Area Rail Transit District
9R02-91093,9R02-068,recynxkqEoo9dJEvw,City of Eureka
9R02-91070,9R02-019,recSEnsIk5ynuEF8D,Yosemite Area Regional Transportation System
99425,,recZQhAvmiMqBlayd,Pomona Valley Transportation Authority
90290,,recAscHgkaEH7iC04,City of Santa Fe Springs
90255,,rec6suFcJnXKb8ARd,City of Beverly Hills
90146,9146,recSqgaa8QiQ8CRjl,Foothill Transit
9R02-91048,9R02-017,recBBqHJqX8xzj9P4,Siskiyou County
90022,9022,recPkUZgzjCjk5GrV,City of Norwalk
90036,9036,recfma7GNR5lQTTTg,Orange County Transportation Authority
99440,,,
90270,,,
90119,9119,rec6Z3DnERm3OwFzw,City of Laguna Beach
90264,,recZm8PD8WIdcDL0M,City of Duarte
90283,,recY8PoIFwsh3PBkh,City of Manhattan Beach
90013,9013,recC5CT95EufmQCXr,Santa Clara Valley Transportation Authority
90300,,recC5MAOasVIbzpAV,City of Artesia
99316,9T27,recHWh5FXKdshWvgB,Chemehuevi Indian Tribe
90010,9010,recvzE9NXgGMmqcTH,City of Torrance
90052,9052,recOkSEcrVmWdQ8e1,City of Corona
90198,9198,recw9p34RqEOleTLg,City of Porterville
90197,9197,recdtVOFdFyypMSUL,City of Tracy
90243,9243,rec0TwjcvtdbA7aPG,Easy Lift Transportation
90230,9230,rec7ltSJtcCExbv1m,California Vanpool Authority
90093,9093,recI1fuNpr306H0hw,Redding Area Bus Authority
90269,,,
99256,9T08,recKN0Q28cOQdsy5L,Susanville Indian Rancheria
90257,,rec4bA4PXbqfUKosh,City of Calabasas
90284,,recV6WAkk4yeeVZLh,City of Maywood
90029,9029,recG5aXxDPI645S86,OmniTrans
9R02-91041,9R02-006,recH99xnwUei3oU7T,City of Dixon
90268,,receRQU9FvhlaYHky,City of Inglewood
9R02-91009,9R02-013,recvUNSLR7o56gsyl,San Benito County Local Transportation Authority
90155,9155,recdujao2F9Hga9Od,City of Vacaville
9R02-91057,9R02-035,reclbzT9trIiGwjBB,Tuolumne County Transit Agency
90282,,recwquyAcz61Csn1z,City of Malibu
