gtfs_dataset_source_record_id,organization_source_record_id,enghouse_operator_id,elavon_customer_name,_common_name,_in_use_from,_in_use_until
recrAG7e0oOiR6FiP,rec7EN71rsZxDFxZd,253,VENTURA COUNTY TRANSPORTATION,Ventura County Transportation Commission,2000-01-01,2099-12-31
recQ0rzbmu4kUl1yv,recI1fuNpr306H0hw,278,REDDING AREA BUS AUTHORITY,Redding Area Bus Authority,2000-01-01,2099-12-31
recCFDoPLhmUSzXtx,recD4Vzt0EDC3VY7I,277,CITY OF CAMARILLO,City of Camarillo,2000-01-01,2099-12-31
recrAG7e0oOiR6FiP,rec7EN71rsZxDFxZd,279,VENTURA COUNTY TRANSPORTATION CO,Valley Express,2000-01-01,2099-12-31
rec9sNDeo9kIjViSW,rec1ErIn9gG1Isk5W,288,SIMI VALLEY TRANSIT,City of Simi Valley,2000-01-01,2099-12-31
recsBJKl0jkyqfLk4,recPJULRJk1Yn824N,289,CITY OF TO TAP TO RIDE,City of Thousand Oaks,2000-01-01,2099-12-31
reckwDWL9xfijN1n4,recojKzQsBzE1hjVu,290,CITY OF MOORPARK,City of Moorpark,2000-01-01,2099-12-31
reckw0OMhoYf1lJcv,recS7GnKTcQVX20HE,291,GOLD COAST TRANSIT DISTRICT,Gold Coast Transit District,2000-01-01,2099-12-31
