ntd_mode_abbreviation,ntd_mode_full_name
AG,Automated Guideway
AR,Alaska Railroad
CB,Commuter Bus
CC,Cable Car
CR,Commuter Rail
DR,Demand Response
DT,Demand Taxi
FB,Ferryboat
HR,Heavy Rail
IP,Inclined Plane
JT,Jitney
LR,Light Rail
MB,Motor Bus
MG,Monorail
MO,Monorail
PB,Publico
RB,Bus Rapid Transit
SR,Streetcar
TB,Trolleybus
TR,Aerial Tramway
VP,Vanpool
YR,Hybrid Rail
